Genes,Comparison1_lgc,Comparison1_FDR,Comparison2_lgc,Comparison2_FDR,Comparison3_lgc,Comparison3_FDR
ENSMUSG00000022416,2.734815068,1.06E-47,-0.877133752,0.058008507,-0.035842606,0.098675579
ENSMUSG00000027330,2.72211473,1.79E-42,-0.724020308,0.058025111,-0.682771134,0.038583879
ENSMUSG00000028420,2.680673656,0.000233,-1.183302799,0.011245526,1.670688298,0.095059146
ENSMUSG00000073400,2.65679881,0.0267,0.092480185,0.077737109,0.460520232,0.032429473
ENSMUSG00000001281,2.649123858,4.59E-85,1.909161135,0.026655025,1.512608581,0.076055377
ENSMUSG00000027297,2.619885846,1.16E-33,1.593100204,0.060366214,-1.83448257,0.061951485
ENSMUSG00000053279,2.605810495,0.0043,1.969856213,0.056488699,1.503693201,0.065391061
ENSMUSG00000081569,2.576433558,0.00000691,-1.585596526,0.028232518,-0.716219621,0.037221347
ENSMUSG00000029866,2.518736699,0.00272,-1.698347328,0.081407382,-1.162452144,0.05510844
ENSMUSG00000045092,2.510022046,5.08E-82,-1.445328754,0.099909266,0.082416088,0.015058261
ENSMUSG00000091694,2.479221207,0.0663,1.969473939,0.078993969,-1.95084273,0.059317598
ENSMUSG00000054385,2.472947984,1.54E-15,-0.700875646,0.034311573,-0.698605156,0.042054774
ENSMUSG00000051839,2.461912964,0.0266,1.359117725,0.031256442,-1.527122338,0.03989381
ENSMUSG00000026581,2.429164381,1.88E-166,-1.835469359,0.059467797,0.379612306,0.074506358
ENSMUSG00000027863,2.418954313,3.06E-90,1.239405564,0.042399281,-1.062984902,0.060306938
ENSMUSG00000002808,2.396943766,0.0476,-0.963498118,0.078403385,0.510817167,0.032322452
ENSMUSG00000083595,2.390044746,0.0608,0.62929566,0.01097829,1.401027045,0.025463578
ENSMUSG00000079339,2.38718539,1.07E-31,0.641347488,0.006077587,-0.167817841,0.012698621
ENSMUSG00000037683,2.3869711,1.97E-10,1.221601075,0.036394168,-0.999986667,0.080086511
ENSMUSG00000006574,2.382485071,0.0408,-1.181793832,0.093277748,0.327235155,0.016179966
ENSMUSG00000030000,2.364868875,0.00222,1.704645693,0.067069202,1.349694286,0.073899865
ENSMUSG00000004098,2.362787299,0.0000141,0.54646734,0.026834261,0.062442357,0.030326788
ENSMUSG00000025141,2.360866799,0.0157,0.915291959,0.057761461,-0.017240701,0.062679217
ENSMUSG00000038623,2.358520753,2.18E-106,-0.714264377,0.030100958,1.476826625,0.005370078
ENSMUSG00000025270,2.350966209,0.0666,0.32791247,0.047578418,1.831757829,0.046233588
ENSMUSG00000091149,2.333993159,0.0367,-0.138059013,0.076571966,-0.216422319,0.004678934
ENSMUSG00000068407,2.314029359,0.000364,-0.542411999,0.058814171,-1.650449112,0.083405705
ENSMUSG00000025092,2.295756342,0.000000124,0.652684723,0.052018266,-0.76680292,0.089367461
ENSMUSG00000026532,2.289501163,0.0342,-0.318233952,0.064367587,-0.285877615,0.096181127
ENSMUSG00000068566,2.277490267,8.56E-17,-1.972713947,0.042513943,-1.537492322,0.082384047
ENSMUSG00000096035,2.265704253,0.000487,-1.235919381,0.083629067,-0.702707819,0.083621335
ENSMUSG00000020788,2.264960619,4.05E-30,0.705009219,0.046155931,1.753661173,0.033558917
ENSMUSG00000096100,2.236644723,0.00518,-0.22198742,0.010598964,0.468486807,0.025278539
ENSMUSG00000049314,2.21418677,0.00000887,-0.252486685,0.076567379,1.89941122,0.038290412
ENSMUSG00000032818,2.212239935,0.0000721,-0.682460472,0.02265161,-0.033209079,0.061399804
ENSMUSG00000032946,2.201604563,1.06E-41,0.714054419,0.064132643,0.413595878,0.088844414
ENSMUSG00000029322,2.175333057,1.93E-47,0.43918209,0.024981107,-0.773417097,0.020285006
ENSMUSG00000083165,2.142498067,2.68E-10,-1.715884375,0.0080263,1.046701438,0.072734111
ENSMUSG00000006360,2.117457852,2.73E-41,-1.639065611,0.064312405,-0.93942682,0.084722409
ENSMUSG00000049044,2.109969238,2.91E-25,1.451103303,0.029708218,1.17936384,0.079806517
ENSMUSG00000096472,2.101716624,9.79E-30,-1.128010141,0.00280281,-0.790000731,0.024486427
ENSMUSG00000099241,2.097969161,1.24E-15,0.6432423,0.019543134,-1.673718557,0.026749844
ENSMUSG00000002007,2.070107372,4.90E-29,0.823883808,0.031664065,-0.975229655,0.023520711
ENSMUSG00000105277,2.052780028,0.00102,1.267992511,0.028932858,-1.539577245,0.069256931
ENSMUSG00000032908,2.032619455,4.54E-35,0.234040599,0.043830474,0.577082272,0.076667537
ENSMUSG00000026815,2.028408859,0.0298,-1.019504026,0.086625228,0.816617187,0.048747616
ENSMUSG00000018340,2.001722354,3.79E-63,-0.519872795,0.010341454,-0.487198494,0.032898033
ENSMUSG00000092340,2.00099996,2.35E-10,-1.492885351,0.049182774,1.411065414,0.058714785
ENSMUSG00000021665,1.996564044,9.79E-75,0.60582396,0.01594046,1.935707532,0.099792913
ENSMUSG00000037552,1.991476247,1.39E-33,1.477193865,0.023365939,-1.852154984,0.006381938
ENSMUSG00000000903,1.980590905,6.59E-16,0.54736529,0.076974498,1.934540239,0.030993977
ENSMUSG00000028717,1.974260365,0.000442,0.701296803,0.003638381,-1.6507371,0.039982413
ENSMUSG00000096144,1.96440114,0.0000649,0.081198389,0.007398652,-1.538950726,0.017388182
ENSMUSG00000026879,1.955893336,1.78E-79,1.226123882,0.023281103,-1.881727725,0.012310502
ENSMUSG00000030427,1.939908919,6.83E-17,0.082315916,0.038899631,0.35904234,0.012292822
ENSMUSG00000082570,1.938836831,0.000000031,-0.31712389,0.081014476,-1.354752006,0.006017992
ENSMUSG00000025366,1.938736675,8.20E-44,1.787668731,0.090496498,0.13834559,0.025527998
ENSMUSG00000057262,1.92439681,0.00952,-1.602462509,0.038166083,-0.62275218,0.090472386
ENSMUSG00000034164,1.923731313,9.54E-27,1.595131529,0.029033317,-1.043138242,0.065588025
ENSMUSG00000044199,1.923707035,7.07E-35,1.34540501,0.040075429,-0.072086057,0.044549803
ENSMUSG00000045802,1.915307326,0.0602,-1.273693161,0.018522981,1.58071423,0.059386095
ENSMUSG00000106031,1.9064793,0.0000619,1.56606757,0.037576055,-0.890592422,0.084047381
ENSMUSG00000025875,1.900685376,0.000000839,0.402433124,0.057402017,-0.01053543,0.086476193
ENSMUSG00000055148,1.886117265,1.36E-21,0.04618079,0.018274029,1.080333707,0.006805359
ENSMUSG00000004032,1.883026391,0.00387,-1.829009572,0.083278283,-1.582583419,0.035376627
ENSMUSG00000012187,1.881137066,0.0227,0.257071791,0.089780112,-1.700918552,0.078830478
ENSMUSG00000054191,1.875466267,0.0024,1.671270286,0.03568906,-1.67239043,0.060378986
ENSMUSG00000025352,1.873182404,1.81E-33,1.807108582,0.092695156,-0.615281065,0.05065475
ENSMUSG00000025780,1.871178579,8.24E-17,-1.780126252,0.049460195,-0.363601238,0.070697085
ENSMUSG00000046006,1.848749134,6.25E-19,-0.906442637,0.079975497,1.723374803,0.033109492
ENSMUSG00000052563,1.842705132,7.71E-09,-1.648856772,0.099379551,-0.183717812,0.000745282
ENSMUSG00000109236,1.834674844,0.00744,1.628548806,0.061295852,1.714157619,0.043914794
ENSMUSG00000032360,1.8217462,8.93E-16,0.299814406,0.066897877,-1.412983447,0.029018863
ENSMUSG00000034903,1.815096217,3.11E-18,-0.442517344,0.031691947,1.051013583,0.053936332
ENSMUSG00000027347,1.79580593,2.28E-51,0.253703484,0.068286545,-0.864855341,0.024282259
ENSMUSG00000041538,1.795504257,7.21E-35,1.036098951,0.009165862,-0.125167067,0.061769433
ENSMUSG00000083979,1.782111248,0.000179,-0.100620354,0.091617265,-1.546090895,0.009805902
ENSMUSG00000018750,1.778187817,1.12E-40,-1.147194901,0.053551446,-1.983901355,0.053222368
ENSMUSG00000098934,1.775610833,1.23E-26,-0.561137065,0.098908794,1.094949756,0.049529847
ENSMUSG00000011008,1.773716279,1.54E-41,-0.520249539,0.083533166,-1.179546298,0.022536251
ENSMUSG00000104185,1.759104324,0.0463,-0.140307051,0.038178837,-0.573035505,0.026745858
ENSMUSG00000091119,1.758043196,0.0423,0.401968683,0.041771503,-0.524453688,0.083901809
ENSMUSG00000105043,1.754456013,0.000000663,-1.234627834,0.012925577,-0.018628242,0.059045558
ENSMUSG00000082633,1.752705382,0.00267,-1.655982027,0.035078492,1.452617143,0.029646084
ENSMUSG00000035699,1.752533467,0.0131,0.04958307,0.083494888,-0.076361263,0.092705441
ENSMUSG00000032698,1.748326904,5.58E-33,-0.768457857,0.032112224,-1.094612547,0.032050217
ENSMUSG00000078429,1.742065616,5.06E-38,-1.844834673,0.000940983,1.611180578,0.091534929
ENSMUSG00000021624,1.739523585,8.26E-46,-1.107865359,0.063799376,-0.780668937,0.068255465
ENSMUSG00000029370,1.738186757,0.0000562,-0.010784944,0.021802702,0.003526325,0.078043613
ENSMUSG00000023963,1.736180179,3.00E-14,-0.225249651,0.066265024,0.025815685,0.037451785
ENSMUSG00000017400,1.722726929,5.11E-09,0.270872327,0.067948858,-0.450098218,0.023031903
ENSMUSG00000006576,1.718356185,0.000579,-0.49555319,0.00229129,-0.790570081,0.037932965
ENSMUSG00000010136,1.718164821,0.000637,1.654321344,0.083024606,-0.157232339,0.092255071
ENSMUSG00000081528,1.710424156,0.00163,-1.755045565,0.090413883,1.055927194,0.026498354
ENSMUSG00000041247,1.709661764,1.36E-08,1.690216656,0.087090328,-1.111593945,0.082287177
ENSMUSG00000036006,1.707892176,6.25E-41,1.393928663,0.015499695,-0.839130301,0.066903616
ENSMUSG00000076562,1.701888724,0.028,-1.810126508,0.088193317,1.910685696,0.033344997
ENSMUSG00000090223,1.697936315,0.0000155,0.887201761,0.009298863,0.296888024,0.00486592
ENSMUSG00000025026,1.689912151,3.53E-42,-0.493835822,0.031613775,-1.573762964,0.066087027
ENSMUSG00000068349,1.68472451,0.0243,1.015216893,0.076905275,-0.733564956,0.003452927
ENSMUSG00000028078,1.679475064,2.94E-24,-0.333082011,0.069670744,0.078488852,0.046245786
ENSMUSG00000033036,1.675396296,0.00533,0.861261468,0.020075134,0.342120968,0.089961781
ENSMUSG00000022353,1.670921117,3.21E-24,-1.258677911,0.0575115,0.553135452,0.039379749
ENSMUSG00000031162,1.667699583,0.0164,0.796929496,0.040287735,1.482678965,0.029441525
ENSMUSG00000074342,1.665736807,1.22E-11,-0.392084592,0.091881609,1.861821558,0.093743555
ENSMUSG00000031925,1.662544588,9.58E-11,0.499919399,0.078227929,-1.714012557,0.043170082
ENSMUSG00000069302,1.655006726,0.00000501,0.757328735,0.024758295,-1.361166481,0.037292867
ENSMUSG00000022686,1.651419319,1.92E-43,1.028215987,0.028528915,-1.693588794,0.043025949
ENSMUSG00000026688,1.644172754,0.0000439,0.85961774,0.08908166,-1.869445094,0.031208151
ENSMUSG00000057135,1.636642876,5.66E-14,0.375185457,0.074231456,-0.137989172,0.028097349
ENSMUSG00000094526,1.635156928,0.000221,0.344955267,0.074755727,1.487361095,0.086402411
ENSMUSG00000027072,1.631084093,0.0112,-1.510453101,0.06303127,1.669765609,0.061327521
ENSMUSG00000029385,1.626971316,2.39E-33,1.457721349,0.035464281,-1.830375063,0.085920873
ENSMUSG00000046169,1.623372273,4.50E-22,-0.648903659,0.007472524,-1.749650792,0.021797989
ENSMUSG00000074419,1.619199558,5.14E-12,1.418133586,0.030461168,-0.363395822,0.082049145
ENSMUSG00000044534,1.612897314,7.27E-13,-1.991099054,0.029556149,-1.744053757,0.027480149
ENSMUSG00000080912,1.611445642,0.0014,0.482972808,0.033554965,0.466145972,0.069988235
ENSMUSG00000082873,1.611167552,0.000987,-1.676221564,0.019846868,0.525320292,0.022257049
ENSMUSG00000098111,1.609842023,0.0448,-0.950093062,0.026650415,0.402222029,0.000581318
ENSMUSG00000041064,1.606958506,0.00446,1.808420548,0.013233942,-0.521434839,0.028962774
ENSMUSG00000021411,1.605561196,3.31E-31,-1.431467866,0.071555232,-0.686421506,0.046598225
ENSMUSG00000082686,1.602828314,0.00413,1.310081455,0.081888318,-1.805414853,0.036281833
ENSMUSG00000073678,1.602394827,4.97E-24,-1.226426466,0.065097247,0.173216314,0.064962171
ENSMUSG00000048015,1.60029421,0.000265,0.58315431,0.082973079,-0.458290816,0.031258269
ENSMUSG00000074272,1.599919246,3.53E-17,1.963792842,0.09443751,-1.21300149,0.034540088
ENSMUSG00000052331,1.59305673,5.14E-34,0.027994032,0.041423513,-0.235186424,0.076528458
ENSMUSG00000105480,1.587822883,0.0409,-1.094780462,0.011590431,-0.348407548,0.007946492
ENSMUSG00000051590,1.58689522,3.78E-22,0.172305585,0.068514837,-1.004453769,0.073561503
ENSMUSG00000003309,1.584032865,0.000000304,0.338722744,0.001613937,1.503205519,0.053555219
ENSMUSG00000019312,1.577064219,5.18E-13,0.514661688,0.068524785,0.139819668,0.0138905
ENSMUSG00000105363,1.57385807,0.0533,1.649136193,0.093325005,-1.904121352,0.050402661
ENSMUSG00000095704,1.573660456,0.00728,-0.558520573,0.081407958,-0.800489156,0.082388526
ENSMUSG00000045629,1.573549882,0.0461,0.854896931,0.079083563,0.712841155,0.096351601
ENSMUSG00000068417,1.572513635,0.0019,1.91901679,0.088286803,-1.704632149,0.038391078
ENSMUSG00000084836,1.572327798,0.00441,1.626973677,0.007320899,0.598292069,0.046576185
ENSMUSG00000036882,1.570531056,0.0000416,-0.26324723,0.005687988,-1.779218552,0.04625186
ENSMUSG00000018909,1.565764796,2.43E-20,-1.505248906,0.078321911,1.465810018,0.097500776
ENSMUSG00000043430,1.56193894,0.0329,-0.990718016,0.074147829,-0.831314109,0.089141807
ENSMUSG00000028825,1.555036287,0.0000376,-1.503044648,0.082837444,0.609767762,0.08848816
ENSMUSG00000092261,1.554688523,0.000343,-1.597487768,0.06695989,-1.592774574,0.021422381
ENSMUSG00000101964,1.524735876,3.40E-13,-1.503450694,0.040537218,-0.813236715,0.018524536
ENSMUSG00000050957,1.516174297,0.0000118,0.83961295,0.058905285,-1.928715634,0.037843442
ENSMUSG00000019823,1.514904406,4.18E-33,-1.676859149,0.075353006,0.761980111,0.047319518
ENSMUSG00000024900,1.50760904,4.20E-15,-1.035388964,0.042637236,1.13846734,0.035093627
ENSMUSG00000042766,1.503999271,0.0025,-1.269554774,0.056729915,-0.709366898,0.019905739
ENSMUSG00000037972,1.50044803,2.51E-15,1.382026532,0.035489979,0.717935984,0.092119043
ENSMUSG00000057191,1.496866248,5.79E-31,-1.442691356,0.046515633,1.818115863,0.030297856
ENSMUSG00000027452,1.495210786,7.68E-39,-0.359792397,0.056612732,-0.82587947,0.026331639
ENSMUSG00000028217,1.494432254,2.45E-10,-1.004122381,0.091072497,0.760148628,0.032283927
ENSMUSG00000046550,1.484780709,0.0857,-1.018412197,0.076437265,1.096328481,0.003032878
ENSMUSG00000021384,1.482154101,2.21E-23,1.354735197,0.091720343,1.496662005,0.045061521
ENSMUSG00000024056,1.474172111,1.24E-12,1.005397262,0.056885387,-1.215878561,0.026994115
ENSMUSG00000051910,1.473877815,0.0672,0.442731294,0.027913805,0.440750515,0.022134619
ENSMUSG00000045007,1.471826353,0.0000315,0.685787795,0.080111918,0.541188012,0.070740671
ENSMUSG00000003484,1.465637563,2.83E-22,-1.780923128,0.094690644,1.573246241,0.034055517
ENSMUSG00000059791,1.461665948,2.78E-21,1.851507855,0.089361085,0.758281083,0.004429313
ENSMUSG00000041762,1.458407714,3.97E-27,1.672630549,0.034434715,-1.293839233,0.05938043
ENSMUSG00000031802,1.457634378,9.22E-15,0.22498364,0.06589328,1.38829194,0.042095583
ENSMUSG00000037822,1.45537353,1.67E-22,0.944527955,0.003601757,0.1558456,0.044212603
ENSMUSG00000043873,1.454263171,0.000162,0.668328019,0.070760249,-0.533561013,0.052974419
ENSMUSG00000043102,1.453727645,0.000000247,0.48406368,0.052601691,-1.817423674,0.081388967
ENSMUSG00000017969,1.451066088,0.000000784,0.104507967,0.054592337,1.401455878,0.070253621
ENSMUSG00000022964,1.450142439,1.50E-18,-0.127081095,0.024467768,-0.685195097,0.035899236
ENSMUSG00000063660,1.449113645,0.0000192,0.408603439,0.098096335,-1.015766392,0.043567035
ENSMUSG00000053137,1.447131307,5.96E-15,1.677574482,0.04646247,0.102725871,0.008530386
ENSMUSG00000031389,1.446773927,9.70E-28,-0.469450014,0.04525049,-0.591307396,0.065672728
ENSMUSG00000002068,1.433882239,4.55E-15,1.049471141,0.003875223,-1.507528032,0.03080145
ENSMUSG00000051314,1.432368262,0.00000821,0.018706589,0.088272093,0.433528367,0.065500518
ENSMUSG00000033544,1.432085772,1.64E-18,1.949688606,0.079493205,0.241175161,0.080844974
ENSMUSG00000003420,1.43114103,4.27E-14,0.463699155,0.056297982,-1.621662632,0.038890149
ENSMUSG00000042121,1.426221791,1.44E-19,1.410481247,0.072245318,-1.066659612,0.034118387
ENSMUSG00000028914,1.4250121,1.07E-26,1.773497702,0.083055266,0.492211404,0.033075156
ENSMUSG00000054932,1.421871197,0.000000172,0.17953402,0.058036915,-1.389058578,0.085987461
ENSMUSG00000078695,1.421756684,2.98E-16,1.841586709,0.020231604,1.1045606,0.051736383
ENSMUSG00000076435,1.419358129,8.34E-17,1.653156532,0.071193485,-0.415020716,0.053917521
ENSMUSG00000041309,1.418138325,0.0583,-1.582374704,0.055123769,-1.245339163,0.090972111
ENSMUSG00000039031,1.417446416,1.81E-16,0.67157415,0.053593572,-0.803340774,0.030278167
ENSMUSG00000031390,1.416082735,9.45E-11,1.254605897,0.084805469,1.051185418,0.065399605
ENSMUSG00000020034,1.416046303,9.25E-25,-0.962495768,0.093183184,0.473210714,0.031753131
ENSMUSG00000034248,1.415434183,1.41E-13,0.181835594,0.038893798,-1.919295004,0.012987442
ENSMUSG00000038155,1.413838989,0.000000151,0.126261745,0.048131126,1.707762719,0.003892246
ENSMUSG00000021703,1.411567138,2.02E-09,0.740496988,0.031571041,-0.278849496,0.09146616
ENSMUSG00000030125,1.410972822,0.0686,-0.831377258,0.033963226,-1.969812368,0.080771096
ENSMUSG00000034245,1.408319424,6.16E-11,-0.319442645,0.004555987,-1.629731843,0.080951164
ENSMUSG00000017390,1.405899078,0.000000217,1.275325913,0.017627477,-1.711876931,0.035816187
ENSMUSG00000041736,1.402716018,1.14E-14,-1.191557961,0.092419482,0.013655329,0.092641347
ENSMUSG00000032009,1.402197207,5.35E-43,1.060631188,0.093691065,1.518956505,0.047220076
ENSMUSG00000026904,1.4013785,0.00000338,-0.121991227,0.071803399,-0.732657736,0.054120213
ENSMUSG00000045165,1.400422435,4.19E-19,0.574336215,0.017211373,0.340672313,0.001959326
ENSMUSG00000103735,1.397243368,0.091,-1.546585737,0.027542569,0.974808177,0.005616866
ENSMUSG00000083827,1.397132252,0.00000515,-0.008001553,0.072798467,-0.182048556,0.068045566
ENSMUSG00000031453,1.397038089,5.82E-43,-0.38146407,0.097838609,-1.712114797,0.078523114
ENSMUSG00000020638,1.396099142,1.54E-09,0.024638922,0.091851518,-0.496620908,0.082290945
ENSMUSG00000022817,1.394873721,1.18E-12,0.0362453,0.053725465,-1.276870926,0.081222872
ENSMUSG00000107082,1.394531972,0.00725,-0.133492821,0.054117218,-0.795932212,0.072030075
ENSMUSG00000022610,1.391198722,1.10E-09,-1.181739572,0.002001442,0.644201559,0.06147491
ENSMUSG00000054619,1.386709957,3.82E-09,-1.598971939,0.094360952,-0.96724811,0.012655338
ENSMUSG00000081212,1.385987458,0.0732,-1.74386266,0.05718433,1.680941442,0.097006303
ENSMUSG00000045232,1.385007887,0.0214,1.046860121,0.091279279,1.56323745,0.043348127
ENSMUSG00000034055,1.383202163,2.87E-28,-1.05242035,0.027381459,0.52236577,0.076730301
ENSMUSG00000032265,1.382153951,8.17E-22,-1.506845175,0.080640194,-0.424494574,0.096163526
ENSMUSG00000083121,1.380516553,3.63E-08,0.293362635,0.02302967,-0.706473009,0.020152695
ENSMUSG00000082829,1.38005752,0.00000168,1.502260412,0.084207591,-1.917261285,0.036260995
ENSMUSG00000026853,1.376228286,2.27E-26,-0.237942964,0.074162984,-1.297601944,0.000247702
ENSMUSG00000031951,1.374932147,0.000011,-1.114134035,0.041436573,0.530785257,0.068315722
ENSMUSG00000028076,1.374400685,8.36E-11,-1.172333954,0.051348875,1.486216981,0.088973493
ENSMUSG00000096292,1.37389562,0.000722,-0.760026773,0.044647838,1.655862779,0.058343118
ENSMUSG00000078606,1.373768042,3.75E-19,-1.89199226,0.085542294,-1.547927382,0.092661905
ENSMUSG00000063903,1.373716843,0.0041,-0.3317559,0.007884894,1.329578508,0.029998557
ENSMUSG00000019872,1.372947748,3.77E-08,-0.45984946,0.071773757,-0.597623441,0.061652518
ENSMUSG00000030577,1.369553454,9.26E-33,-0.492051535,0.042034705,-1.622680146,0.013851006
ENSMUSG00000032065,1.369101224,0.0857,1.764734276,0.08624309,-0.275212938,0.002888608
ENSMUSG00000047821,1.364917556,0.0169,1.51962421,0.071483711,0.169278868,0.045714089
ENSMUSG00000074575,1.362029175,1.94E-09,1.610547597,0.050955447,1.950230422,0.016407194
ENSMUSG00000022475,1.360395674,3.19E-14,0.516870035,0.024738788,0.897222064,0.080100028
ENSMUSG00000094840,1.357915691,0.00728,-0.631977088,0.012294752,-1.473921598,0.080923161
ENSMUSG00000004110,1.357038881,1.86E-13,-1.232499292,0.031400635,-0.39434099,0.030702416
ENSMUSG00000018983,1.357019672,7.44E-17,1.509213107,0.001046404,1.569698737,0.085656339
ENSMUSG00000010142,1.356202057,4.47E-16,0.522463291,0.024890616,1.882693629,0.079453392
ENSMUSG00000039358,1.355983399,0.0458,0.345817156,9.29E-05,1.255709849,0.065142451
ENSMUSG00000029270,1.354915807,2.38E-31,-0.689965587,0.055797994,-1.332721308,0.07079435
ENSMUSG00000025795,1.352093505,9.49E-22,-0.051463763,0.079747283,-0.147142233,0.058394183
ENSMUSG00000044456,1.345894473,8.57E-19,1.942414723,0.004193737,-1.341471644,0.025107977
ENSMUSG00000079635,1.342643492,0.0663,-0.097325151,0.004854241,-1.802460472,0.075631241
ENSMUSG00000034041,1.341858817,3.20E-18,1.473602375,0.085127558,1.068753121,0.042373945
ENSMUSG00000062727,1.341627869,0.0000371,-1.46693579,0.085866522,-1.754998979,0.037011222
ENSMUSG00000030737,1.340553405,0.000000649,0.829663211,0.089339724,1.217178662,0.074692657
ENSMUSG00000053931,1.340477081,8.41E-18,1.254064676,0.039016437,-0.133927234,0.081861009
ENSMUSG00000031146,1.338504445,9.80E-28,0.34446041,0.061513261,-0.814705433,0.094560728
ENSMUSG00000089662,1.337954571,0.0506,0.790708306,0.010985907,-1.998229261,0.04926886
ENSMUSG00000027639,1.33473489,1.31E-34,-1.902695961,0.050939953,-1.41313616,0.098705594
ENSMUSG00000098241,1.330529447,0.0388,1.219431027,0.096665623,-0.945474383,0.039722678
ENSMUSG00000054293,1.324889063,1.27E-16,-1.189362527,0.098723141,0.760564728,0.07542757
ENSMUSG00000055200,1.323172379,1.18E-10,1.514187808,0.042911475,1.623384274,0.078866222
ENSMUSG00000078921,1.321427578,3.54E-08,-0.97078181,0.038395446,1.70014546,0.083282594
ENSMUSG00000025104,1.314651454,8.38E-09,-0.348794484,0.005831619,1.69268122,0.030705347
ENSMUSG00000031659,1.313748612,7.49E-42,1.027205222,0.068674654,0.022433868,0.018134959
ENSMUSG00000096802,1.312722348,0.000849,-0.345680623,0.084250902,1.870630786,0.078420009
ENSMUSG00000036533,1.306991219,1.73E-16,-1.115758672,0.092034753,1.22218608,0.008097347
ENSMUSG00000035273,1.302484119,1.29E-13,0.059698629,0.067463605,-0.267252074,0.077715776
ENSMUSG00000013846,1.302091207,7.24E-08,-1.004443215,0.01748515,0.966050494,0.035993976
ENSMUSG00000051998,1.300865481,4.24E-12,1.04971188,0.094800526,-1.210719457,0.036050289
ENSMUSG00000087520,1.295080187,0.000204,1.330501987,0.055821956,-1.071447222,0.003303383
ENSMUSG00000084362,1.294082715,0.00257,0.060682718,0.004327626,-1.245762798,0.068519585
ENSMUSG00000024399,1.290962941,8.20E-15,-0.058999208,0.005742448,-1.487078507,0.057843718
ENSMUSG00000032011,1.290717668,0.000217,0.561746583,0.019819527,0.623801379,0.075737554
ENSMUSG00000050822,1.288141415,0.00127,1.419726836,0.016352158,-1.844700373,0.039797914
ENSMUSG00000091007,1.286689984,0.0823,-0.852137616,0.091624531,0.251598472,0.047881491
ENSMUSG00000000708,1.282316232,3.28E-28,-0.583752196,0.02319976,-0.769618297,0.067427612
ENSMUSG00000030345,1.281483627,0.027,1.431864313,0.030496416,-1.642091367,0.086432839
ENSMUSG00000015947,1.281292791,0.00000149,-1.253720461,0.049001101,0.691797036,0.090597548
ENSMUSG00000037960,1.279817778,7.71E-08,-1.615051092,0.085094296,0.247755753,0.010319146
ENSMUSG00000071669,1.278947772,1.21E-22,-1.449484732,0.035118842,1.782893452,0.096275302
ENSMUSG00000021236,1.277698044,2.70E-21,0.534991861,0.059210887,-1.12245505,0.096362098
ENSMUSG00000001348,1.275358233,1.02E-16,-1.403823968,0.041298598,-1.048636356,0.021517979
ENSMUSG00000059708,1.273399942,4.78E-11,-1.244541029,0.069733358,-0.870707645,0.065480851
