"pathwayID","overlap","n","description","memo","Pval","fold"
"10221",1,"18","Potassium ion export across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0097623",0.30910664199858,2.80674157303371
"10227",48,"3462","Nucleic acid-templated transcription "," http://amigo.geneontology.org/amigo/term/GO:0097659",0.992053188328772,0.751805778491172
"10231",1,"12","Glutamate receptor clustering "," http://amigo.geneontology.org/amigo/term/GO:0097688",0.198937065734469,4.67790262172285
"10234",1,"187","Receptor signaling pathway via STAT "," http://amigo.geneontology.org/amigo/term/GO:0097696",0.958937024367076,0.326365299189966
"10237",1,"46","Calcineurin-mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0097720",0.694137136938252,0.877106741573034
"10238",2,"120","Sperm motility "," http://amigo.geneontology.org/amigo/term/GO:0097722",0.518523123436496,1.16947565543071
"10243",4,"149","Blood vessel diameter maintenance "," http://amigo.geneontology.org/amigo/term/GO:0097746",0.572895454710354,1.0024077046549
"10253",1,"46","Centriole assembly "," http://amigo.geneontology.org/amigo/term/GO:0098534",0.645244082122132,1.0024077046549
"10255",37,"1012","Defense response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0098542",0.0242428591767464,1.38465917602996
"10256",1,"18","Detection of other organism "," http://amigo.geneontology.org/amigo/term/GO:0098543",0.522849937607846,1.40337078651685
"10257",2,"24","Detection of external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0098581",0.182165175851715,2.55158324821246
"10260",1,"63","Cellular response to virus "," http://amigo.geneontology.org/amigo/term/GO:0098586",0.843187347823344,0.561348314606742
"10264",24,"821","Cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0098609",0.205446403083155,1.19435811618456
"10266",1,"3","Aggregation of unicellular organisms "," http://amigo.geneontology.org/amigo/term/GO:0098630",0.0712570056044836,14.0337078651685
"10267",27,"882","Cation transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098655",0.169544292919256,1.2105754388484
"10268",5,"247","Anion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098656",0.715240581728064,0.845404088263165
"10269",3,"217","Import into cell "," http://amigo.geneontology.org/amigo/term/GO:0098657",0.928258246953827,0.532925615132983
"10270",1,"97","Inorganic cation import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0098659",0.944670358841506,0.35983866320945
"10271",27,"833","Inorganic ion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098660",0.0750462151950507,1.32950916617386
"10272",2,"87","Inorganic anion transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098661",0.562432448533013,1.07951598962835
"10273",25,"765","Inorganic cation transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0098662",0.0906665122792096,1.31895750612486
"10275",1,"12","Regulation of synaptic vesicle cycle "," http://amigo.geneontology.org/amigo/term/GO:0098693",0.256052708554122,3.50842696629213
"10276",1,"16","Regulation of neurotransmitter receptor localization to postsynaptic specialization membrane "," http://amigo.geneontology.org/amigo/term/GO:0098696",0.486169863712012,1.55930087390762
"10277",1,"29","Postsynaptic specialization assembly "," http://amigo.geneontology.org/amigo/term/GO:0098698",0.556918413783459,1.27579162410623
"10289",1,"161","Maintenance of cell number "," http://amigo.geneontology.org/amigo/term/GO:0098727",0.906817353496284,0.438553370786517
"10291",5,"111","Macromolecule deacylation "," http://amigo.geneontology.org/amigo/term/GO:0098732",0.164242297004308,1.71142778843519
"10292",1,"13","Macromolecule depalmitoylation "," http://amigo.geneontology.org/amigo/term/GO:0098734",0.404161351344816,2.00481540930979
"10294",2,"172","Import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0098739",0.945666871171894,0.445514535402176
"10295",4,"274","Cell-cell adhesion via plasma-membrane adhesion molecules "," http://amigo.geneontology.org/amigo/term/GO:0098742",0.801116557713934,0.738616203429923
"10296",2,"26","Cell aggregation "," http://amigo.geneontology.org/amigo/term/GO:0098743",0.130748500010217,3.11860174781523
"10298",2,"38","Bone cell development "," http://amigo.geneontology.org/amigo/term/GO:0098751",0.317446354668042,1.75421348314607
"10299",8,"123","Detoxification "," http://amigo.geneontology.org/amigo/term/GO:0098754",0.0712303587998074,1.81080101486046
"1030",1,"2","Cell-matrix adhesion involved in ameboidal cell migration "," http://amigo.geneontology.org/amigo/term/GO:0003366",0.0712570056044836,14.0337078651685
"10304",29,"767","Inorganic ion homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0098771",0.0157925859801317,1.50732417811069
"10305",1,"93","Skin epidermis development "," http://amigo.geneontology.org/amigo/term/GO:0098773",0.843187347823344,0.561348314606742
"10311",2,"11","Xenophagy "," http://amigo.geneontology.org/amigo/term/GO:0098792",0.0144749670290808,9.35580524344569
"10313",1,"40","Regulation of renal system process "," http://amigo.geneontology.org/amigo/term/GO:0098801",0.617949267606351,1.07951598962835
"10314",1,"29","Neurotransmitter reuptake "," http://amigo.geneontology.org/amigo/term/GO:0098810",0.556918413783459,1.27579162410623
"10315",5,"270","Nuclear chromosome segregation "," http://amigo.geneontology.org/amigo/term/GO:0098813",0.627421535222112,0.935580524344569
"10317",2,"55","Modulation of excitatory postsynaptic potential "," http://amigo.geneontology.org/amigo/term/GO:0098815",0.344298810030678,1.65102445472571
"10323",1,"31","Bone growth "," http://amigo.geneontology.org/amigo/term/GO:0098868",0.30910664199858,2.80674157303371
"10324",6,"94","Cellular oxidant detoxification "," http://amigo.geneontology.org/amigo/term/GO:0098869",0.16262631166302,1.61927398444252
"10326",1,"135","Vesicle-mediated transport to the plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0098876",0.899619908897602,0.452700253715114
"1033",5,"14","Sphingosine-1-phosphate receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0003376",8.36354734179828e-05,8.77106741573034
"10330",1,"28","Postsynaptic neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0098884",0.522849937607846,1.40337078651685
"10334",2,"63","Regulation of action potential "," http://amigo.geneontology.org/amigo/term/GO:0098900",0.447411576473624,1.33654360620653
"10341",1,"10","Regulation of neuronal action potential "," http://amigo.geneontology.org/amigo/term/GO:0098908",0.198937065734469,4.67790262172285
"10348",10,"699","Anterograde trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0098916",0.944136943280028,0.661967352130591
"10355",2,"42","Vesicle-mediated transport between endosomal compartments "," http://amigo.geneontology.org/amigo/term/GO:0098927",0.208852718372431,2.33895131086142
"10357",1,"61","Axonal transport "," http://amigo.geneontology.org/amigo/term/GO:0098930",0.694137136938252,0.877106741573034
"10375",1,"4","Excitatory chemical synaptic transmission "," http://amigo.geneontology.org/amigo/term/GO:0098976",0.137449699499339,7.01685393258427
"10377",3,"244","Vesicle-mediated transport in synapse "," http://amigo.geneontology.org/amigo/term/GO:0099003",0.901639133819845,0.576727720486378
"10378",1,"10","Calmodulin dependent kinase signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0099004",0.256052708554122,3.50842696629213
"10382",3,"65","Plasma membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:0099024",0.421195732918685,1.27579162410623
"10388",1,"34","Postsynapse assembly "," http://amigo.geneontology.org/amigo/term/GO:0099068",0.588560749729916,1.16947565543071
"10389",2,"91","Regulation of postsynaptic membrane neurotransmitter receptor levels "," http://amigo.geneontology.org/amigo/term/GO:0099072",0.62277764727559,0.967841921735761
"10393",1,"51","Postsynaptic specialization organization "," http://amigo.geneontology.org/amigo/term/GO:0099084",0.772678571803303,0.701685393258427
"10395",3,"188","Microtubule-based transport "," http://amigo.geneontology.org/amigo/term/GO:0099111",0.772869133858795,0.751805778491172
"1040",2,"80","Neural retina development "," http://amigo.geneontology.org/amigo/term/GO:0003407",0.518523123436496,1.16947565543071
"10400",1,"21","Regulation of postsynaptic neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0099149",0.486169863712012,1.55930087390762
"10401",1,"18","Regulation of postsynaptic specialization assembly "," http://amigo.geneontology.org/amigo/term/GO:0099150",0.446678601078479,1.75421348314607
"10402",1,"15","Regulation of postsynaptic density assembly "," http://amigo.geneontology.org/amigo/term/GO:0099151",0.404161351344816,2.00481540930979
"10409",7,"204","Postsynapse organization "," http://amigo.geneontology.org/amigo/term/GO:0099173",0.240120374068634,1.38360500079126
"1041",1,"15","Chondrocyte differentiation involved in endochondral bone morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0003413",0.30910664199858,2.80674157303371
"10411",4,"109","Regulation of postsynapse organization "," http://amigo.geneontology.org/amigo/term/GO:0099175",0.252394349951441,1.55930087390762
"10412",9,"493","Regulation of trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099177",0.826970912546187,0.779650436953808
"10425",3,"217","Synaptic vesicle cycle "," http://amigo.geneontology.org/amigo/term/GO:0099504",0.859605513248513,0.637895812053115
"10428",1,"19","Synaptic vesicle cytoskeletal transport "," http://amigo.geneontology.org/amigo/term/GO:0099514",0.404161351344816,2.00481540930979
"1043",1,"27","Endochondral bone growth "," http://amigo.geneontology.org/amigo/term/GO:0003416",0.256052708554122,3.50842696629213
"10430",1,"19","Synaptic vesicle transport along microtubule "," http://amigo.geneontology.org/amigo/term/GO:0099517",0.404161351344816,2.00481540930979
"10431",2,"68","Vesicle cytoskeletal trafficking "," http://amigo.geneontology.org/amigo/term/GO:0099518",0.447411576473624,1.33654360620653
"10432",1,"12","Dense core granule cytoskeletal transport "," http://amigo.geneontology.org/amigo/term/GO:0099519",0.358386953649252,2.33895131086142
"10438",10,"738","Synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099536",0.965700874815298,0.623720349563046
"10439",10,"707","Trans-synaptic signaling "," http://amigo.geneontology.org/amigo/term/GO:0099537",0.951778137314014,0.649708697461506
"1044",1,"19","Growth plate cartilage development "," http://amigo.geneontology.org/amigo/term/GO:0003417",0.256052708554122,3.50842696629213
"1045",1,"9","Growth plate cartilage chondrocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0003418",0.198937065734469,4.67790262172285
"10455",1,"30","Maintenance of synapse structure "," http://amigo.geneontology.org/amigo/term/GO:0099558",0.588560749729916,1.16947565543071
"10459",3,"118","Chemical synaptic transmission, postsynaptic "," http://amigo.geneontology.org/amigo/term/GO:0099565",0.616458486418796,0.956843718079673
"10464",1,"97","Inorganic ion import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0099587",0.944670358841506,0.35983866320945
"10465",1,"34","Neurotransmitter receptor internalization "," http://amigo.geneontology.org/amigo/term/GO:0099590",0.617949267606351,1.07951598962835
"10468",1,"11","Protein localization to axon "," http://amigo.geneontology.org/amigo/term/GO:0099612",0.137449699499339,7.01685393258427
"10474",1,"29","Protein localization to postsynaptic specialization membrane "," http://amigo.geneontology.org/amigo/term/GO:0099633",0.588560749729916,1.16947565543071
"10481",3,"178","Signal release from synapse "," http://amigo.geneontology.org/amigo/term/GO:0099643",0.73950931374584,0.79436082255671
"10482",1,"29","Neurotransmitter receptor localization to postsynaptic specialization membrane "," http://amigo.geneontology.org/amigo/term/GO:0099645",0.588560749729916,1.16947565543071
"10484",1,"2","Regulation of skeletal muscle contraction by action potential "," http://amigo.geneontology.org/amigo/term/GO:0100001",0.0712570056044836,14.0337078651685
"10490",11,"311","Cellular response to environmental stimulus "," http://amigo.geneontology.org/amigo/term/GO:0104004",0.172336615531873,1.37831059390048
"10498",4,"101","Neuron projection organization "," http://amigo.geneontology.org/amigo/term/GO:0106027",0.190536124901657,1.75421348314607
"10500",1,"2","Protein maturation by [2Fe-2S] cluster transfer "," http://amigo.geneontology.org/amigo/term/GO:0106034",0.0712570056044836,14.0337078651685
"10503",1,"34","Regulation of calcineurin-mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0106056",0.588560749729916,1.16947565543071
"10504",1,"15","Negative regulation of calcineurin-mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0106057",0.30910664199858,2.80674157303371
"10512",1,"9","Regulation of glutamate receptor clustering "," http://amigo.geneontology.org/amigo/term/GO:0106104",0.137449699499339,7.01685393258427
"10513",3,"131","Cold-induced thermogenesis "," http://amigo.geneontology.org/amigo/term/GO:0106106",0.71519051878309,0.825512227362855
"10514",1,"19","Regulation of sterol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0106118",0.358386953649252,2.33895131086142
"10516",1,"10","Positive regulation of sterol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0106120",0.256052708554122,3.50842696629213
"10525",1,"107","Regulation of actomyosin structure organization "," http://amigo.geneontology.org/amigo/term/GO:0110020",0.977399945085598,0.275170742454285
"10529",1,"3","DNA strand resection involved in replication fork processing "," http://amigo.geneontology.org/amigo/term/GO:0110025",0.137449699499339,7.01685393258427
"1053",14,"584","Carbohydrate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0005975",0.48095187509491,1.03953391593841
"10530",1,"3","Regulation of G2/MI transition of meiotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0110030",0.0712570056044836,14.0337078651685
"10531",1,"3","Positive regulation of G2/MI transition of meiotic cell cycle "," http://amigo.geneontology.org/amigo/term/GO:0110032",0.0712570056044836,14.0337078651685
"10532",14,"275","Regulation of actin filament organization "," http://amigo.geneontology.org/amigo/term/GO:0110053",0.0533647729641136,1.59733260253951
"10538",1,"9","Cellular detoxification of aldehyde "," http://amigo.geneontology.org/amigo/term/GO:0110095",0.30910664199858,2.80674157303371
"10539",1,"14","Cellular response to aldehyde "," http://amigo.geneontology.org/amigo/term/GO:0110096",0.358386953649252,2.33895131086142
"1054",2,"109","Polysaccharide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0005976",0.708744656145469,0.825512227362855
"10548",5,"157","Biomineralization "," http://amigo.geneontology.org/amigo/term/GO:0110148",0.511553242249359,1.06315968675519
"10549",4,"94","Regulation of biomineralization "," http://amigo.geneontology.org/amigo/term/GO:0110149",0.350912327972178,1.33654360620653
"1055",1,"72","Glycogen metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0005977",0.843187347823344,0.561348314606742
"10550",1,"24","Negative regulation of biomineralization "," http://amigo.geneontology.org/amigo/term/GO:0110150",0.522849937607846,1.40337078651685
"10551",2,"49","Positive regulation of biomineralization "," http://amigo.geneontology.org/amigo/term/GO:0110151",0.540840596442877,1.12269662921348
"10555",2,"46","Intermembrane lipid transfer "," http://amigo.geneontology.org/amigo/term/GO:0120009",0.290345749182892,1.87116104868914
"10556",15,"515","Plasma membrane bounded cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0120031",0.270803782723943,1.19605464759959
"10557",7,"191","Regulation of plasma membrane bounded cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0120032",0.251107728085397,1.36438826466916
"10558",2,"33","Negative regulation of plasma membrane bounded cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0120033",0.182165175851715,2.55158324821246
"10559",4,"107","Positive regulation of plasma membrane bounded cell projection assembly "," http://amigo.geneontology.org/amigo/term/GO:0120034",0.400717196240373,1.24744069912609
"10560",23,"701","Regulation of plasma membrane bounded cell projection organization "," http://amigo.geneontology.org/amigo/term/GO:0120035",0.113163105676484,1.30151322943095
"10561",40,"1531","Plasma membrane bounded cell projection organization "," http://amigo.geneontology.org/amigo/term/GO:0120036",0.252457651444896,1.11378633850544
"10562",10,"670","Plasma membrane bounded cell projection morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0120039",0.944136943280028,0.661967352130591
"10563",1,"6","Regulation of macrophage proliferation "," http://amigo.geneontology.org/amigo/term/GO:0120040",0.137449699499339,7.01685393258427
"10564",1,"5","Positive regulation of macrophage proliferation "," http://amigo.geneontology.org/amigo/term/GO:0120041",0.137449699499339,7.01685393258427
"10577",3,"131","Regulation of cold-induced thermogenesis "," http://amigo.geneontology.org/amigo/term/GO:0120161",0.71519051878309,0.825512227362855
"10578",1,"85","Positive regulation of cold-induced thermogenesis "," http://amigo.geneontology.org/amigo/term/GO:0120162",0.925465584661502,0.400963081861958
"10579",2,"45","Negative regulation of cold-induced thermogenesis "," http://amigo.geneontology.org/amigo/term/GO:0120163",0.344298810030678,1.65102445472571
"10580",1,"34","Steroid hormone biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0120178",0.522849937607846,1.40337078651685
"10587",2,"86","Tight junction assembly "," http://amigo.geneontology.org/amigo/term/GO:0120192",0.447411576473624,1.33654360620653
"10588",2,"91","Tight junction organization "," http://amigo.geneontology.org/amigo/term/GO:0120193",0.518523123436496,1.16947565543071
"10597",5,"159","Olefinic compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0120254",0.164242297004308,1.71142778843519
"10603",1,"13","Regulation of pigmentation "," http://amigo.geneontology.org/amigo/term/GO:0120305",0.30910664199858,2.80674157303371
"10606",3,"189","Meiotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0140013",0.73950931374584,0.79436082255671
"10607",7,"270","Mitotic nuclear division "," http://amigo.geneontology.org/amigo/term/GO:0140014",0.497808158910624,1.05630059200193
"10612",1,"10","Cellular response to oxidised low-density lipoprotein particle stimulus "," http://amigo.geneontology.org/amigo/term/GO:0140052",0.198937065734469,4.67790262172285
"10613",1,"107","Mitochondrial gene expression "," http://amigo.geneontology.org/amigo/term/GO:0140053",0.935779912184151,0.379289401761312
"10614",1,"75","Organelle localization by membrane tethering "," http://amigo.geneontology.org/amigo/term/GO:0140056",0.736307972614259,0.779650436953808
"10620",2,"56","Export across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0140115",0.447411576473624,1.33654360620653
"10630",1,"67","Presynaptic endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0140238",0.843187347823344,0.561348314606742
"10631",1,"28","Postsynaptic endocytosis "," http://amigo.geneontology.org/amigo/term/GO:0140239",0.522849937607846,1.40337078651685
"10634",2,"63","Cell-cell fusion "," http://amigo.geneontology.org/amigo/term/GO:0140253",0.495496046932258,1.22032242305813
"10637",1,"11","Protein mono-ADP-ribosylation "," http://amigo.geneontology.org/amigo/term/GO:0140289",0.358386953649252,2.33895131086142
"10641",28,"905","Export from cell "," http://amigo.geneontology.org/amigo/term/GO:0140352",0.0469324345357542,1.38360500079126
"10644",1,"5","Cyclic-GMP-AMP transmembrane import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0140361",0.198937065734469,4.67790262172285
